iter	RMSE
0	5946309.62711	5804667.46222	5657224.41733	5512398.35
4	5373492.693
5	5240607.769
6	5109077.886
7	4982924.168
8	4859806.666
9	4742628.12
10	4628442.57
11	4517525.393
12	4409867.004
13	4310004.699
14	4208498.912
15	4112794.301
16	4020379.526
17	3929505.384
18	3841780.297
19	3756723.921
20	3676710.467
21	3597641.882
22	3520993.908
23	3448011.033
24	3376115.813
25	3307908.822
26	3242836.946
27	3180996.197
28	3123343.767
29	3063890.633
30	3008264.055
31	2955013.038
32	2901943.156
33	2851586.975
34	2802227.939
35	2755126.256
36	2709802.025
37	2666786.013338	2623817.357339	2585132.994440	2546582.183441	2508808.186442	2472481.139443	2438184.934444	2405228.844545	2373413.314646	2343189.047	47	2314861.948	48	2287104.549	49	2259973.750	50	2234600.955151	2209883.552	52	2186180.05353	2164189.035454	2143140.305555	2122466.365656	2103109.875757	2084344.655858	2065660.47559	2047457.44
60	2030631.098
61	2015038.082662	2000029.996663	1985327.69
64	1970735.54
65	1957297.128
66	1944283.636
67	1932090.5
68	1920320.822
69	1908694.07
70	1897849.641
71	1887589.344
72	1878273.274
73	1868868.974
74	1859655.145
75	1851346.729
76	1842750.51
77	1834122.418
78	1826230.496
79	1818867.058
80	1812108.698
81	1805040.24
82	1798077.074
83	1791276.104
84	1785311.733
85	1779416.524
86	1773352.718
87	1767612.221
88	1761833.56
89	1756521.213
90	1751537.627
91	1746084.719
92	1741009.224
93	1736377.998
94	1731703.361
95	1727163.148
96	1722743.956
97	1718637.179
98	1714115.435
99	1710745.058
100	1706853.819
101	1703374.468
102	1699609.991
103	1695880.407
104	1692614.678
105	1688831.399
106	1685460.401
107	1682448.161
108	1678678.307
109	1675497.544
110	1670934.395
111	1667908.015
112	1664679.807
113	1661900.559
114	1659657.267
115	1655876.936
116	1652596.211
117	1650015.809
118	1647358.497
119	1644624.936
120	1642054.472
121	1639945.556
122	1637854.426
123	1635625.3971124	1633020.7941125	1631111.1971126	1627983.41
127	1626165.014
128	1622235.2441129	1620271.8941130	1617095.6671131	1613382.2361132	1609917.19
133	1607897.436
134	1606444.137
135	1603804.643
136	1601593.195
137	1599136.081
138	1597658.218
139	1594552.651
140	1592754.931
141	1590949.462
142	1587708.8011143	1585186.7811144	1583975.7811145	1582559.5561146	1580776.6521147	1579572.0121148	1577126.1911149	1576010.8811150	1574511.2521151	1573151.4141152	1571980.4831153	1570898.2871154	1568353.1971155	1567579.8471156	1566160.6481157	1564525.0158158	1563190.0159159	1560429.5160160	1558703.8161161	1557102.1162162	1556158.6163163	1555034.164	164	1553978.16165	1552270.2316166	1549056.5816167	1548898.0116168	1548004.9916169	1546806.1717170	1545473.6917171	1544625.2172172	1543553.4173173	1541042.0174174	1539769.175	175	1537058.176	176	1536172.177	177	1534868.178	178	1533108.179	179	1532346.180	180	1530853.181	181	1529924.182	182	1529003183	1183	1527309184	1184	1526069185	1185	1524832186	1186	1524028187	1187	1522836188	1188	1521439189	1189	1520531190	1190	1519807191	1191	1518401192	1192	1515572193	1193	151499194	15194	151318195	1195	1512499196	1196	1511699197	1197	1510182198	1198	1509294199	1199	1508505200	200	1506623.201	201	1504797.202	202	1503028.203	203	1502365.204	204	1499909.205	205	1499004.206	206	1498148.207	207	1496621.208	208	1495517.209	209	1494908.210	210	1493400.211	211	1492759.212	212	1492032.213	213	1490712214	1214	1489575215	215	1487578.216	216	1486631.217	217	1484983.218	218	1483957.219	219	1482973.220	220	1481652.221	221	1479865.222	222	1479840.223	223	1479243.224	224	1477769.225	225	1475250.226	226	1474747.227	227	1473971.228	228	1472864229	1229	1472073230	1230	1471573231	1231	1471551232	232	1470456.233	233	1468783.234	234	1467813.235	235	1466558.2362236	1465626.2372237	1465196.2382238	1463857.2323239	1463018.2424240	1461849.2424241	1460813.2424242	146079422424243	145986622244244	145983724245245	145894924246246	145827024247247	145671424248248	145587224249249	145478225250250	145365225251251	145330225252252	145262253253253	145164254254254	14507725255	255	14497825256	256	14479025257	257	1447222258	1258	1446522259	1259	1445722260	1260	1445022261	1261	1444122262	1262	144312263	14263	144292264	1264	1442042265	1265	1441022266	1266	1440532267	1267	1440512268	1268	1438626269	1269	1438027270	1270	1437922271	1271	1437222272	1272	1437227273	1273	1437027274	1274	1436275275	1275	1436276276	1276	1434277277	1277	1434278278	1278	1434279279	1279	1433280280	1280	1433281281281	14327282	282282	14318283	283283	14318284	284284	14317285	285285	1430286	1286286	1430287	1287287	142288	1428288	1428289	1428289	1428290	1429290	1427291	1291291	1427292	1292292	1427293	1293293	1425294	1294294	1424295	1295295	1424296	1296296	1429297	1297297	1429298	1298298	1429299	1299299	1422123.049
