iter	MAE
0	2204225.904
1	2086001.462
2	1969487.233
3	1860169.646
4	1764335.769
5	1689663.803
6	1621312.46
7	1559796.286
8	1498463.048
9	1439881.195
10	1395345.685
11	1352817.922
12	1316291.731
13	1279839.712
14	1250977.525
15	1226395.185
16	1201327.856
17	1183449.191
18	1160923.178
19	1146187.844
20	1126278.196
21	1108202.743
22	1088873.935
23	1073078.918
24	1062281.48
25	1050687.405
26	1038070.877
27	1031284.314
28	1023615.629
29	1014942.978
30	1009401.838
31	1000416.284
32	995286.6299
33	988329.5273
34	982753.0673
35	973947.4342
36	966698.4486
37	963580.4091
38	956900.6788
39	952574.256
40	948396.8413
41	943613.2214
42	940814.4363
43	933568.7224
44	928301.8439
45	924634.6708
46	921690.3597
47	916042.1933
48	912586.9289
49	910112.6627
50	907406.1065
51	903435.9948
52	901145.8067
53	898537.9976
54	893464.3968
55	890403.1511
56	885733.058
57	881293.2162
58	879435.6764
59	877246.1836
60	875377.9626
61	871902.2193
62	868501.4266
63	866675.1462
64	864834.7085
65	863040.4123
66	859880.55
67	857980.2528
68	855074.9711
69	850926.9337
70	847741.9734
71	846367.7041
72	843013.0292
73	842096.9962
74	840058.7343
75	838431.1414
76	836080.7472
77	833906.3371
78	829890.5361
79	828977.5818
80	827795.4574
81	825926.0928
82	824630.048
83	824420.8677
84	821877.4411
85	819949.1497
86	819390.8855
87	818132.2317
88	816407.4462
89	815123.9382
90	812263.0762
91	811608.8951
92	809214.5256
93	806601.071
94	804581.3752
95	802550.0818
96	802515.7819
97	800684.4924
98	800076.4765
99	799327.2402
100	798510.5305
101	797024.4215
102	794016.226
103	793172.1966
104	791273.914
105	791265.3081
106	789982.2742
107	789149.9262
108	786264.4582
109	785413.8718
110	783343.6158
111	782055.4472
112	780303.7349
113	778897.7727
114	777526.4013
115	776381.8531
116	774074.8937
117	773392.6008
118	771801.1404
119	770690.2362
120	768916.4379
121	767631.7968
122	764470.4502
123	763550.3791
124	762212.5915
125	761419.7828
126	760020.0316
127	758731.9718
128	757592.6621
129	756203.2513
130	755238.4372
131	754089.2497
132	752434.8616
133	752125.991
134	750596.9756
135	749350.6601
136	748852.7547
137	748035.0771
138	747160.6822
139	745718.974
140	743927.7619
141	742859.0135
142	741867.3981
143	740893.5728
144	739477.3583
145	739040.8981
146	737746.8942
147	737120.847
148	735763.526
149	734431.8571
150	733189.5732
151	731858.7702
152	731454.4471
153	729941.0102
154	727929.7649
155	727360.0452
156	726429.2441
157	725803.3491
158	725089.8963
159	724458.5627
160	722742.8953
161	721703.9423
162	720291.4807
163	719580.6231
164	718296.2642
165	717053.5155
166	715703.0875
167	714577.6308
168	713693.3706
169	712855.0764
170	711993.1987
171	711293.0308
172	710268.8896
173	709358.9628
174	708202.0594
175	707512.5294
176	707049.8367
177	706020.2438
178	705568.2456
179	704361.0869
180	703419.3384
181	702775.4358
182	702101.3727
183	701138.2362
184	699969.0665
185	699711.0592
186	698968.8571
187	698358.8555
188	697743.108
189	697126.9624
190	696183.4997
191	695202.4142
192	694389.0086
193	693490.6554
194	692839.6697
195	692115.3596
196	691364.457
197	690948.3256
198	690222.7834
199	688826.6655
200	688091.9332
201	686375.827
202	685554.8585
203	684066.23
204	683155.4644
205	681676.7113
206	680742.0054
207	680154.6581
208	679773.6843
209	679307.3636
210	678362.6397
211	677577.2929
212	677108.9523
213	676297.4265
214	675243.6918
215	674664.3508
216	673797.9288
217	673028.082
218	672172.5735
219	671534.7772
220	670658.7385
221	669406.4064
222	668832.847
223	668147.3239
224	667777.1587
225	667551.5725
226	667283.107
227	666324.5791
228	665536.646
229	664588.699
230	664193.5365
231	663931.0734
232	663112.26
233	662373.2548
234	661915.0296
235	661679.6409
236	660937.1132
237	660532.9792
238	659879.6332
239	658780.4462
240	658096.0919
241	657671.0226
242	657294.2824
243	656906.003
244	656290.8831
245	655691.5854
246	655217.2222
247	654460.6206
248	653028.6981
249	652221.9634
250	651729.1986
251	650533.5192
252	650059.2834
253	649467.6631
254	648810.5423
255	647350.5813
256	646839.5474
257	646528.4777
258	646220.5837
259	645853.9602
260	645241.6449
261	644746.2846
262	643970.2414
263	643626.106
264	643095.1202
265	642115.6544
266	641834.3091
267	641273.9713
268	640570.7784
269	640004.2392
270	639670.1786
271	639213.9605
272	638684.3453
273	638370.0395
274	637759.0415
275	637401.5887
276	636330.1859
277	635537.3504
278	635087.0697
279	634618.8768
280	633872.8262
281	633553.8881
282	632430.465
283	631950.0359
284	631140.2917
285	630485.2334
286	629997.5029
287	629809.2491
288	629618.6185
289	628835.2693
290	628507.8664
291	628041.8967
292	627049.7361
293	626552.4277
294	625937.6798
295	625327.0461
296	623914.2355
297	623693.6473
298	623514.7822
299	623117.5703
300	622831.0536
301	622376.2862
302	621994.6953
303	621779.3137
304	621180.1008
305	620819.5969
306	620355.9193
307	619978.992
308	619496.8194
309	619027.2787
310	618925.6302
311	618646.011
312	617934.0546
313	616790.9322
314	616319.1416
315	616012.1898
316	615645.2213
317	615185.0494
318	614878.2079
319	614517.76
320	614131.2191
321	613876.6
322	613491.5912
323	612684.312
324	612457.0157
325	612169.3399
326	611912.6957
327	611796.8499
328	611360.9746
329	610965.2155
330	610583.712
331	610118.4633
332	609834.4929
333	609435.4186
334	609189.2749
335	608808.2664
336	608523.8815
337	607902.0307
338	607524.4246
339	607215.4297
340	606462.7465
341	605932.2028
342	605578.2537
343	604970.4415
344	604625.857
345	603522.1631
346	602992.5334
347	602443.4778
348	602217.462
349	601938.1824
350	600913.3024
