iter	Passed	Remaining
0	49	49482
1	89	44554
2	135	45032
3	178	44475
4	219	43601
5	259	42991
6	311	44232
7	352	43727
8	391	43055
9	427	42287
10	466	41924
11	512	42220
12	554	42064
13	599	42243
14	644	42303
15	684	42124
16	788	45596
17	836	45653
18	882	45568
19	940	46104
20	990	46163
21	1037	46102
22	1097	46627
23	1146	46621
24	1199	46792
25	1254	46994
26	1296	46722
27	1336	46405
28	1389	46540
29	1434	46396
30	1478	46219
31	1531	46333
32	1587	46508
33	1648	46835
34	1699	46860
35	1741	46627
36	1795	46738
37	1843	46658
38	1884	46425
39	1930	46330
40	1974	46172
41	2018	46045
42	2066	45990
43	2109	45825
44	2155	45736
45	2199	45613
46	2242	45479
47	2283	45290
48	2332	45273
49	2387	45357
50	2438	45371
51	2486	45335
52	2539	45366
53	2598	45525
54	2643	45425
55	2691	45366
56	2741	45354
57	2793	45365
58	2848	45424
59	2893	45330
60	2943	45317
61	2996	45339
62	3040	45218
63	3094	45258
64	3142	45209
65	3196	45241
66	3247	45221
67	3297	45197
68	3347	45167
69	3395	45113
70	3432	44907
71	3489	44979
72	3550	45088
73	3598	45026
74	3650	45028
75	3709	45105
76	3762	45100
77	3813	45078
78	3862	45025
79	3917	45056
80	3962	44953
81	4011	44906
82	4066	44923
83	4088	44582
84	4123	44384
85	4175	44374
86	4215	44234
87	4260	44154
88	4320	44225
89	4352	44007
90	4397	43925
91	4430	43724
92	4486	43753
93	4528	43644
94	4573	43571
95	4627	43574
96	4639	43186
97	4686	43138
98	4740	43146
99	4789	43109
100	4843	43115
101	4894	43087
102	4949	43106
103	4994	43033
104	5054	43084
105	5071	42773
106	5119	42729
107	5177	42761
108	5232	42768
109	5280	42721
110	5335	42733
111	5390	42737
112	5434	42659
113	5490	42674
114	5544	42666
115	5600	42681
116	5656	42686
117	5706	42651
118	5747	42549
119	5799	42530
120	5848	42488
121	5908	42520
122	5962	42516
123	6017	42510
124	6087	42615
125	6160	42733
126	6223	42783
127	6315	43024
128	6376	43052
129	6416	42939
130	6459	42850
131	6498	42735
132	6550	42700
133	6602	42670
134	6637	42529
135	6694	42531
136	6759	42579
137	6828	42652
138	6894	42707
139	6949	42690
140	7005	42678
141	7048	42587
142	7099	42544
143	7140	42449
144	7190	42396
145	7242	42362
146	7288	42295
147	7340	42258
148	7396	42242
149	7436	42141
150	7481	42062
151	7531	42015
152	7569	41903
153	7630	41918
154	7719	42081
155	7769	42034
156	7835	42070
157	7918	42201
158	7987	42246
159	8038	42202
160	8112	42274
161	8168	42252
162	8242	42326
163	8296	42294
164	8356	42290
165	8419	42298
166	8479	42296
167	8534	42266
168	8608	42329
169	8689	42424
170	8753	42436
171	8838	42548
172	8886	42478
173	8947	42477
174	9004	42450
175	9057	42406
176	9107	42348
177	9158	42295
178	9202	42209
179	9256	42167
180	9317	42158
181	9375	42139
182	9429	42096
183	9490	42088
184	9551	42077
185	9612	42065
186	9648	41949
187	9704	41916
188	9750	41838
189	9800	41779
190	9850	41721
191	9893	41635
192	9940	41565
193	10001	41552
194	10059	41526
195	10126	41539
196	10182	41506
197	10236	41462
198	10275	41359
199	10329	41317
200	10380	41263
201	10435	41223
202	10478	41141
203	10545	41148
204	10616	41172
205	10653	41063
206	10710	41030
207	10760	40972
208	10815	40932
209	10864	40872
210	10914	40811
211	10965	40759
212	11014	40698
213	11065	40641
214	11123	40612
215	11180	40582
216	11239	40557
217	11291	40504
218	11342	40449
